service_date_key,gap_r1,gap_r2,gap_r3,deficit_r1,deficit_r2,surplus_r3,total_deficit_r1_r2,support_r3_to_r1,support_r3_to_r2,remaining_deficit_after_expansion,feasible_after_expansion,partial_relief_only,feasible_before_expansion
2026-01-01,0.0,3.0,3.0,-0.0,0.0,3.0,0.0,-0.0,0.0,0.0,True,False,True
2026-01-02,7.0,-3.0,-2.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,False,False,False
2026-01-03,0.0,-1.0,-2.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,False,False,False
2026-01-05,-1.0,8.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False
2026-01-06,1.0,3.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,False,True
2026-01-07,6.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,False,True
2026-01-08,-1.0,-2.0,7.0,1.0,2.0,7.0,3.0,1.0,2.0,0.0,True,False,False
2026-01-09,5.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2026-01-10,0.0,3.0,-3.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2026-01-11,0.0,0.0,-1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,True,False,False
2026-01-12,-6.0,-9.0,6.0,6.0,9.0,6.0,15.0,0.0,6.0,9.0,False,True,False
2026-01-13,-8.0,-11.0,6.0,8.0,11.0,6.0,19.0,0.0,6.0,13.0,False,True,False
2026-01-14,-2.0,5.0,-6.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,False,False,False
2026-01-15,-13.0,4.0,4.0,13.0,0.0,4.0,13.0,4.0,0.0,9.0,False,True,False
2026-01-16,-4.0,-8.0,-7.0,4.0,8.0,0.0,12.0,0.0,0.0,12.0,False,False,False
2026-01-17,0.0,2.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True
2026-01-19,-2.0,-6.0,0.0,2.0,6.0,0.0,8.0,0.0,0.0,8.0,False,False,False
2026-01-20,6.0,-1.0,-5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,False,False,False
2026-01-21,-8.0,5.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,False,False,False
2026-01-22,-2.0,0.0,1.0,2.0,-0.0,1.0,2.0,1.0,0.0,1.0,False,True,False
2026-01-23,-8.0,9.0,6.0,8.0,0.0,6.0,8.0,6.0,0.0,2.0,False,True,False
2026-01-24,3.0,0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2026-01-26,-6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,True,False,False
2026-01-27,0.0,-9.0,9.0,-0.0,9.0,9.0,9.0,0.0,9.0,0.0,True,False,False
2026-01-28,-1.0,2.0,11.0,1.0,0.0,11.0,1.0,1.0,0.0,0.0,True,False,False
2026-01-29,4.0,-1.0,10.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,True,False,False
2026-01-30,-5.0,-10.0,-8.0,5.0,10.0,0.0,15.0,0.0,0.0,15.0,False,False,False
2026-01-31,3.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,True,False,True
2026-02-01,0.0,-1.0,0.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,False,False,False
2026-02-02,4.0,-7.0,-6.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,False,False,False
2026-02-03,-6.0,-11.0,-4.0,6.0,11.0,0.0,17.0,0.0,0.0,17.0,False,False,False
2026-02-04,2.0,-11.0,4.0,0.0,11.0,4.0,11.0,0.0,4.0,7.0,False,True,False
2026-02-05,-1.0,-1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,True,False,False
2026-02-06,-5.0,-4.0,2.0,5.0,4.0,2.0,9.0,2.0,0.0,7.0,False,True,False
2026-02-07,-2.0,0.0,0.0,2.0,-0.0,0.0,2.0,0.0,0.0,2.0,False,False,False
2026-02-09,-1.0,1.0,-4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False
2026-02-10,-3.0,5.0,4.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,True,False,False
2026-02-11,-4.0,-4.0,3.0,4.0,4.0,3.0,8.0,3.0,0.0,5.0,False,True,False
2026-02-12,-4.0,6.0,3.0,4.0,0.0,3.0,4.0,3.0,0.0,1.0,False,True,False
2026-02-13,2.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2026-02-14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True
2026-02-16,-2.0,-2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,False,True,False
2026-02-17,-1.0,-11.0,-3.0,1.0,11.0,0.0,12.0,0.0,0.0,12.0,False,False,False
2026-02-18,8.0,-9.0,4.0,0.0,9.0,4.0,9.0,0.0,4.0,5.0,False,True,False
2026-02-19,-1.0,-7.0,3.0,1.0,7.0,3.0,8.0,0.0,3.0,5.0,False,True,False
2026-02-20,4.0,-2.0,10.0,0.0,2.0,10.0,2.0,0.0,2.0,0.0,True,False,False
2026-02-21,3.0,0.0,3.0,0.0,-0.0,3.0,0.0,0.0,-0.0,0.0,True,False,True
2026-02-22,0.0,3.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True
2026-02-23,-10.0,1.0,4.0,10.0,0.0,4.0,10.0,4.0,0.0,6.0,False,True,False
2026-02-24,3.0,-16.0,3.0,0.0,16.0,3.0,16.0,0.0,3.0,13.0,False,True,False
2026-02-25,-7.0,-11.0,7.0,7.0,11.0,7.0,18.0,0.0,7.0,11.0,False,True,False
2026-02-26,4.0,-3.0,8.0,0.0,3.0,8.0,3.0,0.0,3.0,0.0,True,False,False
2026-02-27,4.0,0.0,3.0,0.0,-0.0,3.0,0.0,0.0,-0.0,0.0,True,False,True
2026-02-28,0.0,-1.0,0.0,-0.0,1.0,0.0,1.0,0.0,0.0,1.0,False,False,False
2026-03-02,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,True
2026-03-03,-2.0,-8.0,0.0,2.0,8.0,0.0,10.0,0.0,0.0,10.0,False,False,False
2026-03-04,1.0,5.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,False,True
2026-03-05,9.0,0.0,12.0,0.0,-0.0,12.0,0.0,0.0,-0.0,0.0,True,False,True
2026-03-06,0.0,3.0,4.0,-0.0,0.0,4.0,0.0,-0.0,0.0,0.0,True,False,True
2026-03-09,6.0,-1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,True,False,False
